exp,meta_round_id,agent_id,backend,model,temperature,survival_days,death_day,death_count,mortality_rate,final_status,status_alive,final_hp,final_budget,total_bid,avg_bid,bid_variance,max_bid,min_bid,error_count,compile_success,runtime_success,strategy_complexity
exp_000,3,Cindy,gemini,gemini-2.5-flash,0.6,10,,0.0,0.0,alive,1.0,10.0,947.8,1060.2,106.02000000000001,151.01160000000002,130.0,85.5,0,1.0,1.0,425.0
exp_000,3,David,gemini,gemini-3.1-flash-lite,0.6,10,,0.0,0.0,alive,1.0,10.0,128.23875,856.07875,85.607875,1024.7255641822915,121.1,0.0,0,1.0,1.0,161.0
exp_000,3,Eric,deepseek,deepseek-v4-flash,0.6,8,9,1.0,100.0,dead,0.0,0.0,0.0,793.86,79.386,879.177284,104.8,0.0,0,1.0,1.0,366.0
exp_000,4,Alex,openai,gpt-5.4,0.6,10,,0.0,0.0,alive,1.0,7.0,140.2,1244.2,124.42,869.4035999999999,166.2,57.4,0,1.0,1.0,705.0
exp_000,4,Bob,openai,gpt-5.4-nano,0.6,6,7,1.0,100.0,dead,0.0,-2.0,0.0,533.9174,53.391740000000006,1329.3221550324001,85.68,0.0,0,1.0,1.0,439.0
exp_000,4,Cindy,gemini,gemini-2.5-flash,0.6,10,,0.0,0.0,alive,1.0,9.0,853.1999999999999,1285.6,128.56,339.07839999999993,156.2,100.6,0,1.0,1.0,410.0
exp_000,4,David,gemini,gemini-3.1-flash-lite,0.6,3,4,1.0,100.0,dead,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,1.0,0.0
exp_000,4,Eric,deepseek,deepseek-v4-flash,0.6,10,,0.0,0.0,alive,1.0,10.0,884.483,922.4656666666667,92.24656666666667,594.1759306233333,133.0,70.0,0,1.0,1.0,251.0
exp_000,5,Alex,openai,gpt-5.4,0.6,3,4,1.0,100.0,dead,0.0,-2.0,0.0,358.5,35.85,2186.9945,112.0,0.0,0,1.0,1.0,579.0
exp_000,5,Bob,openai,gpt-5.4-nano,0.6,10,,0.0,0.0,alive,1.0,10.0,71.0,962.0,96.2,1753.16,146.0,0.0,0,1.0,1.0,411.0
exp_000,5,Cindy,gemini,gemini-2.5-flash,0.6,10,,0.0,0.0,alive,1.0,6.0,1038.0,969.0,96.9,908.89,132.0,45.0,0,1.0,1.0,323.0
exp_000,5,David,gemini,gemini-3.1-flash-lite,0.6,3,4,1.0,100.0,dead,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,1.0,0.0
exp_000,5,Eric,deepseek,deepseek-v4-flash,0.6,10,,0.0,0.0,alive,1.0,10.0,714.0,861.0,86.1,637.49,133.0,56.0,0,1.0,1.0,245.0
exp_000,6,Alex,openai,gpt-5.4,0.6,10,,0.0,0.0,alive,1.0,10.0,95.00000000000001,920.6658359375,92.06658359375,1361.24049428086,148.5,35.0,0,1.0,1.0,622.0
exp_000,6,Bob,openai,gpt-5.4-nano,0.6,3,4,1.0,100.0,dead,0.0,-2.0,0.0,162.954328125,16.2954328125,647.4001542699242,67.90143749999999,0.0,0,1.0,1.0,475.0
exp_000,6,Cindy,gemini,gemini-2.5-flash,0.6,10,,0.0,0.0,alive,1.0,2.0,1182.6,711.3,71.13,988.3700999999999,142.5,45.0,0,1.0,1.0,203.0
exp_000,6,David,gemini,gemini-3.1-flash-lite,0.6,3,4,1.0,100.0,dead,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,1.0,0.0
exp_000,6,Eric,deepseek,deepseek-v4-flash,0.6,10,,0.0,0.0,alive,1.0,6.0,839.3,1073.1,107.30999999999999,702.6649000000001,133.0,69.3,0,1.0,1.0,274.0
exp_000,7,Alex,openai,gpt-5.4,0.6,3,4,1.0,100.0,dead,0.0,-2.0,0.0,347.5,34.75,1899.8625,101.5,0.0,0,1.0,1.0,620.0
exp_000,7,Bob,openai,gpt-5.4-nano,0.6,6,7,1.0,100.0,dead,0.0,-2.0,0.0,486.18,48.618,1186.933176,92.7,0.0,0,1.0,1.0,456.0
exp_000,7,Cindy,gemini,gemini-2.5-flash,0.6,10,,0.0,0.0,alive,1.0,10.0,618.0475,1197.6431,119.76431,279.2768500849,142.5,97.5,0,1.0,1.0,242.0
exp_000,7,David,gemini,gemini-3.1-flash-lite,0.6,10,,0.0,0.0,alive,1.0,3.0,488.93968208333337,859.4109205166667,85.94109205166667,1302.5713475821603,140.60880625,0.0,0,1.0,1.0,186.0
exp_000,7,Eric,deepseek,deepseek-v4-flash,0.6,10,,0.0,0.0,alive,1.0,10.0,469.4357130000001,1137.939287,113.7939287,317.3092762835132,137.375,70.0,0,1.0,1.0,308.0
exp_000,8,Alex,openai,gpt-5.4,0.6,10,,0.0,0.0,alive,1.0,7.0,38.0,1257.5,125.75,2763.4625,176.0,28.0,0,1.0,1.0,608.0
exp_000,8,Bob,openai,gpt-5.4-nano,0.6,3,4,1.0,100.0,dead,0.0,-2.0,0.0,306.45,30.645,1639.030545,94.05000000000001,0.0,0,1.0,1.0,428.0
exp_000,8,Cindy,gemini,gemini-2.5-flash,0.6,10,,0.0,0.0,alive,1.0,9.0,701.0,1573.0,157.3,76.06,173.5,147.0,0,1.0,1.0,252.0
exp_000,8,David,gemini,gemini-3.1-flash-lite,0.6,10,,0.0,0.0,alive,1.0,1.0,421.50666666666666,1176.4208333333333,117.64208333333333,1463.3594798958334,161.83333333333334,32.0,0,1.0,1.0,193.0
exp_000,8,Eric,deepseek,deepseek-v4-flash,0.6,5,6,1.0,100.0,dead,0.0,0.0,0.0,890.0,89.0,5354.45,160.5,0.0,0,1.0,1.0,229.0
exp_000,9,Alex,openai,gpt-5.4,0.6,10,,0.0,0.0,alive,1.0,10.0,142.21999999999997,1059.28,105.928,186.23265600000005,123.78000000000002,70.0,0,1.0,1.0,612.0
exp_000,9,Bob,openai,gpt-5.4-nano,0.6,10,,0.0,0.0,alive,1.0,7.0,523.9949999999999,829.955,82.9955,499.42188225000007,120.78000000000002,51.97500000000001,0,1.0,1.0,586.0
exp_000,9,Cindy,gemini,gemini-2.5-flash,0.6,3,4,1.0,100.0,dead,0.0,-2.0,0.0,381.5,38.15,2239.7525,104.5,0.0,0,1.0,1.0,270.0
exp_000,9,David,gemini,gemini-3.1-flash-lite,0.6,3,4,1.0,100.0,dead,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,1.0,0.0
exp_000,9,Eric,deepseek,deepseek-v4-flash,0.6,10,,0.0,0.0,alive,1.0,9.0,650.0,1084.0,108.4,57.64,122.0,98.0,0,1.0,1.0,290.0
exp_000,10,Alex,openai,gpt-5.4,0.6,3,4,1.0,100.0,dead,0.0,-2.0,0.0,331.0,33.1,1774.44,114.0,0.0,0,1.0,1.0,611.0
exp_000,10,Bob,openai,gpt-5.4-nano,0.6,10,,0.0,0.0,alive,1.0,10.0,5.769999999999982,1199.16,119.91600000000001,627.9212239999998,149.75,58.95,0,1.0,1.0,396.0
exp_000,10,Cindy,gemini,gemini-2.5-flash,0.6,10,,0.0,0.0,alive,1.0,9.0,866.9200000000001,1184.867,118.4867,286.93977600999995,148.75,97.5,0,1.0,1.0,490.0
exp_000,10,David,gemini,gemini-3.1-flash-lite,0.6,4,5,1.0,100.0,dead,0.0,0.0,0.0,471.35,47.135000000000005,2298.1740250000003,111.35000000000001,0.0,0,1.0,1.0,159.0
exp_000,10,Eric,deepseek,deepseek-v4-flash,0.6,10,,0.0,0.0,alive,1.0,10.0,756.9200000000001,913.3115,91.33115000000001,1918.4624084025,150.75,0.0,0,1.0,1.0,221.0
